time,event,a,b,c,d,e
2026.07.09 05:40:54,EXIT,id=67,STOP,-28.44,R=-1.125,
2026.07.09 06:40:00,ENTRY_ATTEMPT,P2_EURUSD_1783578900,SELL,3.50,1.14298,1.14309
2026.07.09 06:40:00,ENTRY_ACCEPTED,P2_EURUSD_1783578900,id=68,1.14298,lot=3.50,riskP=90.56/A=38.50
2026.07.09 06:44:10,EXIT,id=68,TARGET,77.00,R=2.000,
2026.07.09 09:40:00,ENTRY_ATTEMPT,P2_EURUSD_1783589700,SELL,1.75,1.14448,1.14500
2026.07.09 09:40:00,ENTRY_ACCEPTED,P2_EURUSD_1783589700,id=69,1.14448,lot=1.75,riskP=91.33/A=91.00
2026.07.09 10:15:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783591800,,,,
2026.07.09 10:45:54,EXIT,id=69,TARGET,182.00,R=2.000,
2026.07.09 10:55:00,ENTRY_ATTEMPT,P1_EURUSD_1783594200,BUY,4.05,1.14342,1.14319
2026.07.09 10:55:00,ENTRY_ACCEPTED,P1_EURUSD_1783594200,id=70,1.14342,lot=4.05,riskP=93.15/A=93.15
2026.07.09 10:56:19,EXIT,id=70,STOP,-101.25,R=-1.087,
2026.07.09 11:55:00,ENTRY_ATTEMPT,P1_EURUSD_1783597800,BUY,4.84,1.14304,1.14285
2026.07.09 11:55:00,ENTRY_ACCEPTED,P1_EURUSD_1783597800,id=71,1.14304,lot=4.84,riskP=92.14/A=91.96
2026.07.09 11:55:45,EXIT,id=71,STOP,-116.16,R=-1.263,
2026.07.09 12:05:00,ENTRY_ATTEMPT,P1_EURUSD_1783598400,BUY,2.84,1.14277,1.14245
2026.07.09 12:05:00,ENTRY_ACCEPTED,P1_EURUSD_1783598400,id=72,1.14277,lot=2.84,riskP=90.98/A=90.88
2026.07.09 12:07:14,EXIT,id=72,STOP,-93.72,R=-1.031,
2026.07.09 13:05:00,ENTRY_ATTEMPT,P2_EURUSD_1783602000,SELL,3.10,1.14292,1.14321
2026.07.09 13:05:00,ENTRY_ACCEPTED,P2_EURUSD_1783602000,id=73,1.14292,lot=3.10,riskP=90.04/A=89.90
2026.07.09 13:52:33,EXIT,id=73,TARGET,179.80,R=2.000,
2026.07.09 15:00:00,ENTRY_ATTEMPT,P2_EURUSD_1783608900,SELL,3.09,1.14297,1.14304
2026.07.09 15:00:00,ENTRY_ACCEPTED,P2_EURUSD_1783608900,id=74,1.14297,lot=3.09,riskP=91.84/A=21.63
2026.07.09 15:00:00,EXIT,id=74,STOP,-21.63,R=-1.000,
2026.07.09 15:15:00,ENTRY_ATTEMPT,P2_EURUSD_1783609800,SELL,4.82,1.14340,1.14359
2026.07.09 15:15:00,ENTRY_ACCEPTED,P2_EURUSD_1783609800,id=75,1.14340,lot=4.82,riskP=91.62/A=91.58
2026.07.09 15:16:37,EXIT,id=75,STOP,-96.40,R=-1.053,
2026.07.09 15:50:00,ENTRY_ATTEMPT,P1_EURUSD_1783611900,BUY,2.97,1.14269,1.14263
2026.07.09 15:50:00,ENTRY_ACCEPTED,P1_EURUSD_1783611900,id=76,1.14269,lot=2.97,riskP=90.66/A=17.82
2026.07.09 15:51:00,EXIT,id=76,TARGET,35.64,R=2.000,
2026.07.09 16:55:00,ENTRY_ATTEMPT,P2_EURUSD_1783615800,SELL,3.95,1.14360,1.14383
2026.07.09 16:55:00,ENTRY_ACCEPTED,P2_EURUSD_1783615800,id=77,1.14360,lot=3.95,riskP=91.01/A=90.85
